,,,,,,,
Part,Jennifer,,Nicole,,Chase,,Avg
,Trial 1,Trial 2,Trial 1,Trial 2,Trial 1,Trial 2,
100,3,2,2,1,3,2,2.2
101,2,3,3,1,2,2,2.2
102,1,1,1,1,3,4,1.8
103,2,2,3,2,3,3,2.5
104,6,5,6,8,8,8,6.8
105,8,8,8,10,9,7,8.3
106,3,3,4,3,4,4,3.5
107,6,7,9,7,8,6,7.2
108,1,1,1,1,2,1,1.2
109,2,2,3,2,3,2,2.3
110,4,3,6,2,5,4,4.0
111,1,1,1,1,2,2,1.3
112,2,1,2,1,2,3,1.8
113,2,3,2,3,3,2,2.5
114,1,1,3,1,2,1,1.5
115,4,4,7,7,4,5,5.2
116,4,3,5,3,3,4,3.7
117,2,2,3,2,3,1,2.2
118,3,3,4,4,4,4,3.7
119,4,3,7,3,4,3,4.0
120,3,2,3,5,3,3,3.2
121,2,2,2,2,2,2,2.0
122,3,1,3,2,2,3,2.3
123,3,2,4,1,2,1,2.2
124,10,10,9,10,9,9,9.5
125,9,6,8,8,8,9,8.0
126,3,2,1,3,3,4,2.7
127,3,3,4,2,3,3,3.0
128,6,6,8,9,7,7,7.2
129,2,3,1,3,2,2,2.2
130,1,1,2,1,1,2,1.3
131,5,4,7,5,6,6,5.5
132,6,6,6,8,8,6,6.7
133,5,5,3,4,5,5,4.5
134,10,10,9,10,9,9,9.5
135,9,9,9,9,9,9,9.0
136,5,5,8,7,6,7,6.3
137,3,2,4,4,3,3,3.2
138,2,3,2,3,2,4,2.7
139,2,2,3,1,2,2,2.0
140,4,5,5,6,5,4,4.8
141,7,6,7,6,6,6,6.3
142,4,3,3,3,3,3,3.2
143,5,5,6,6,5,8,5.8
144,5,4,7,4,6,5,5.2
145,5,5,3,3,4,5,4.2
146,7,6,7,7,4,7,6.3
147,8,7,9,10,8,8,8.3
148,7,6,8,8,8,8,7.5
149,10,9,10,10,9,9,9.5
150,5,5,2,8,5,5,5.0
