Label,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,AverageScore, std
100,3,2,2,1,3,2,2.2,0.7528
101,2,3,3,1,2,2,2.2,0.7528
102,1,1,1,1,3,4,1.8,1.3292
103,2,2,3,2,3,3,2.5,0.5477
104,6,5,6,8,8,8,6.8,1.3292
105,8,8,8,10,9,7,8.3,1.0328
106,3,3,4,3,4,4,3.5,0.5477
107,6,7,9,7,8,6,7.2,1.1690
108,1,1,1,1,2,1,1.2,0.4082
109,2,2,3,2,3,2,2.3,0.5164
110,4,3,6,2,5,4,4.0,1.4142
111,1,1,1,1,2,2,1.3,0.5164
112,2,1,2,1,2,3,1.8,0.7528
113,2,3,2,3,3,2,2.5,0.5477
114,1,1,3,1,2,1,1.5,0.8367
115,4,4,7,7,4,5,5.2,1.4720
116,4,3,5,3,3,4,3.7,0.8165
117,2,2,3,2,3,1,2.2,0.7528
118,3,3,4,4,4,4,3.7,0.5164
119,4,3,7,3,4,3,4.0,1.5492
120,3,2,3,5,3,3,3.2,0.9832
121,2,2,2,2,2,2,2.0,0.0000
122,3,1,3,2,2,3,2.3,0.8165
123,3,2,4,1,2,1,2.2,1.1690
124,10,10,9,10,9,9,9.5,0.5477
125,9,6,8,8,8,9,8.0,1.0954
126,3,2,1,3,3,4,2.7,1.0328
127,3,3,4,2,3,3,3.0,0.6325
128,6,6,8,9,7,7,7.2,1.1690
129,2,3,1,3,2,2,2.2,0.7528
130,1,1,2,1,1,2,1.3,0.5164
131,5,4,7,5,6,6,5.5,1.0488
132,6,6,6,8,8,6,6.7,1.0328
133,5,5,3,4,5,5,4.5,0.8367
134,10,10,9,10,9,9,9.5,0.5477
135,9,9,9,9,9,9,9.0,0.0000
136,5,5,8,7,6,7,6.3,1.2111
137,3,2,4,4,3,3,3.2,0.7528
138,2,3,2,3,2,4,2.7,0.8165
139,2,2,3,1,2,2,2.0,0.6325
140,4,5,5,6,5,4,4.8,0.7528
141,7,6,7,6,6,6,6.3,0.5164
142,4,3,3,3,3,3,3.2,0.4082
143,5,5,6,6,5,8,5.8,1.1690
144,5,4,7,4,6,5,5.2,1.1690
145,5,5,3,3,4,5,4.2,0.9832
146,7,6,7,7,4,7,6.3,1.2111
147,8,7,9,10,8,8,8.3,1.0328
148,7,6,8,8,8,8,7.5,0.8367
149,10,9,10,10,9,9,9.5,0.5477
150,5,5,2,8,5,5,5.0,1.8974
