LevelingScore,Person,DateCollected,ImageType,GSCamera,PanelID,State,FilePath
1.3,,,DD,,25-130,raw,data\raw\1\Leveling-1_GS-25-130_0degrees (1).png
1.3,,,DD,,25-130,raw,data\raw\1\Leveling-1_GS-25-130_0degrees (2).png
1.3,,,DD,,25-130,raw,data\raw\1\Leveling-1_GS-25-130_0degrees (3).png
1.3,,,DD,,25-130,raw,data\raw\1\Leveling-1_GS-25-130_0degrees (4).png
1.3,,,DD,,25-130,raw,data\raw\1\Leveling-1_GS-25-130_0degrees (5).png
1.3,,,DD,,25-130,raw,data\raw\1\Leveling-1_GS-25-130_0degrees.png
2.2,,,DD,,25-101,raw,data\raw\2\Leveling-2_GS-25-101 (1).png
2.2,,,DD,,25-101,raw,data\raw\2\Leveling-2_GS-25-101 (2).png
2.2,,,DD,,25-101,raw,data\raw\2\Leveling-2_GS-25-101 (3).png
2.2,,,DD,,25-101,raw,data\raw\2\Leveling-2_GS-25-101 (4).png
2.2,,,DD,,25-101,raw,data\raw\2\Leveling-2_GS-25-101 (5).png
2.2,,,DD,,25-101,raw,data\raw\2\Leveling-2_GS-25-101.png
1.2,,,DD,,25-108,raw,data\raw\2\Leveling-2_GS-25-108 (1).png
1.2,,,DD,,25-108,raw,data\raw\2\Leveling-2_GS-25-108 (2).png
1.2,,,DD,,25-108,raw,data\raw\2\Leveling-2_GS-25-108 (3).png
1.2,,,DD,,25-108,raw,data\raw\2\Leveling-2_GS-25-108 (4).png
1.2,,,DD,,25-108,raw,data\raw\2\Leveling-2_GS-25-108 (5).png
1.2,,,DD,,25-108,raw,data\raw\2\Leveling-2_GS-25-108.png
1.3,,,DD,,25-111,raw,data\raw\2\Leveling-2_GS-25-111 (1).png
1.3,,,DD,,25-111,raw,data\raw\2\Leveling-2_GS-25-111 (2).png
1.3,,,DD,,25-111,raw,data\raw\2\Leveling-2_GS-25-111 (3).png
1.3,,,DD,,25-111,raw,data\raw\2\Leveling-2_GS-25-111 (4).png
1.3,,,DD,,25-111,raw,data\raw\2\Leveling-2_GS-25-111 (5).png
1.3,,,DD,,25-111,raw,data\raw\2\Leveling-2_GS-25-111.png
1.8,,,DD,,25-112,raw,data\raw\2\Leveling-2_GS-25-112 (1).png
1.8,,,DD,,25-112,raw,data\raw\2\Leveling-2_GS-25-112 (2).png
1.8,,,DD,,25-112,raw,data\raw\2\Leveling-2_GS-25-112 (3).png
1.8,,,DD,,25-112,raw,data\raw\2\Leveling-2_GS-25-112 (4).png
1.8,,,DD,,25-112,raw,data\raw\2\Leveling-2_GS-25-112 (5).png
1.8,,,DD,,25-112,raw,data\raw\2\Leveling-2_GS-25-112.png
1.5,,,DD,,25-114,raw,data\raw\2\Leveling-2_GS-25-114 (1).png
1.5,,,DD,,25-114,raw,data\raw\2\Leveling-2_GS-25-114 (2).png
1.5,,,DD,,25-114,raw,data\raw\2\Leveling-2_GS-25-114 (3).png
1.5,,,DD,,25-114,raw,data\raw\2\Leveling-2_GS-25-114 (4).png
1.5,,,DD,,25-114,raw,data\raw\2\Leveling-2_GS-25-114 (5).png
1.5,,,DD,,25-114,raw,data\raw\2\Leveling-2_GS-25-114.png
2.0,,,DD,,25-121,raw,data\raw\2\Leveling-2_GS-25-121 (1).png
2.0,,,DD,,25-121,raw,data\raw\2\Leveling-2_GS-25-121 (2).png
2.0,,,DD,,25-121,raw,data\raw\2\Leveling-2_GS-25-121 (3).png
2.0,,,DD,,25-121,raw,data\raw\2\Leveling-2_GS-25-121 (4).png
2.0,,,DD,,25-121,raw,data\raw\2\Leveling-2_GS-25-121 (5).png
2.0,,,DD,,25-121,raw,data\raw\2\Leveling-2_GS-25-121.png
2.3,,,DD,,25-122,raw,data\raw\2\Leveling-2_GS-25-122 (1).png
2.3,,,DD,,25-122,raw,data\raw\2\Leveling-2_GS-25-122 (2).png
2.3,,,DD,,25-122,raw,data\raw\2\Leveling-2_GS-25-122 (3).png
